	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Dnmt3aos|Dnmt3aos	43	0	6	74	48	0	13	879	18	25	26	20	29	23	11	15
Gm31623|Gm31623	606	1054	753	557	525	0	431	0	220	232	279	298	474	297	396	224
Efr3b|Efr3b	3804	5516	3681	11061	8009	1372	7975	907	857	891	1848	2697	2676	1792	7067	5627
Dnajc27|Dnajc27	2546	635	2216	4714	5459	45	5388	708	579	639	747	1462	1052	782	6795	4457
Adcy3|Adcy3	1904	1424	1943	2879	5083	8308	5984	1927	239	234	219	348	456	255	2094	1926
Gm31794|Gm31794	0	0	0	0	49	0	26	0	27	33	50	63	94	59	16	12
Cenpo|Cenpo	471	177	494	1213	1008	0	1150	327	142	198	211	331	330	234	1024	839
Ptrhd1|Ptrhd1	131	505	219	555	456	0	102	733	24	31	28	63	88	44	290	158
LOC105244649|LOC105244649	24	0	114	67	23	0	62	0	6	4	41	45	23	9	13	0
LOC108167978|LOC108167978	42	0	22	0	3	0	8	0	0	0	0	0	4	0	11	22
Ncoa1|Ncoa1	2081	3194	1983	3547	2132	574	1655	3745	710	889	1128	2134	3346	2461	1521	1211
Fkbp1b|Fkbp1b	216	820	167	1435	421	63	379	0	70	81	98	186	307	190	1208	727
Sf3b6|Sf3b6	852	508	562	1317	1106	1331	821	2525	33	37	49	103	139	93	1907	1497
Gm40835|Gm40835	2	0	16	0	5	0	61	48	9	6	9	26	20	10	35	0
Itsn2|Itsn2	2834	3036	3587	1959	5065	71	5230	1742	718	1012	680	1143	1478	1243	1536	1507
