	PBN1-ML02-D	PBN1-ML02-G	PBN1-ML04-D	PBN1-ML04-G	PBN2-FM01-D	PBN2-FM01-G	PBN2-FM02-D	PBN2-FM02-G	SRR1647854	SRR1647855	SRR1647856	SRR1647857	SRR1647858	SRR1647859	SRR6294443	SRR6294444
Macrod2|Macrod2	1784	2712	1789	4930	4018	6482	2823	2848	197	230	135	267	497	361	2159	1500
Gm39948|Gm39948	17	0	4	0	46	0	32	49	13	8	12	6	33	26	27	6
Flrt3|Flrt3	15312	13572	8094	19154	14477	33995	18750	42339	405	411	535	1120	774	618	4629	7043
Bfsp1|Bfsp1	0	0	13	0	53	0	17	0	6	6	3	5	11	6	55	25
Gm33648|Gm33648	0	0	9	0	10	0	23	0	4	4	7	5	8	9	11	0
Gm33804|Gm33804	126	0	74	0	54	0	40	374	10	13	4	6	13	9	112	80
Dstn|Dstn	2525	1696	1123	4239	2045	0	1853	3918	75	96	82	233	269	201	5303	4470
Pcsk2os1|Pcsk2os1	425	0	204	193	730	0	834	0	223	158	23	50	159	127	259	291
Pcsk2|Pcsk2	24232	23580	14119	36760	29822	14225	32528	44689	2132	2404	262	760	1963	1350	6982	7242
Pcsk2os2|Pcsk2os2	0	0	26	0	15	0	72	0	270	283	27	52	237	177	35	47
Rrbp1|Rrbp1	5345	1616	5228	6400	7001	311	7690	2820	180	200	276	521	594	471	2836	2200
Gm5535|Gm5535	65	0	76	0	117	0	69	0	0	0	0	4	12	4	0	20
Mgme1|Mgme1	241	643	410	0	535	0	607	0	23	14	14	32	52	48	516	358
Snx5|Snx5	1759	3649	1134	3698	2227	941	1978	445	180	208	169	315	459	364	2361	1514
Snord17|Snord17	81	0	72	118	78	0	33	0	4	7	4	9	18	8	14	5
LOC108168801|LOC108168801	90	0	59	0	117	0	91	0	40	59	61	128	88	63	31	29
Csrp2bp|Csrp2bp	595	295	675	438	1695	1218	948	0	202	203	253	440	304	269	753	563
Pet117|Pet117	4	9	3	70	13	22	8	0	1	1	1	1	1	1	1	1
Zfp133-ps|Zfp133-ps	199	0	186	324	311	0	197	17	20	12	21	37	58	38	289	228
Gm38402|Gm38402	0	217	59	0	0	0	0	0	28	23	49	53	106	43	18	18
Gm561|Gm561	465	444	219	766	349	425	350	0	15	17	41	105	188	134	500	404
Dzank1|Dzank1	3625	4688	3433	3849	4877	1877	5310	5972	770	860	915	1731	2394	1652	8180	7058
Sec23b|Sec23b	1439	1408	1509	485	2311	562	2563	5671	111	144	111	230	259	166	6007	4689
Polr3f|Polr3f	971	2502	952	1246	1842	651	1134	2377	104	112	113	189	203	153	1515	1036
Rbbp9|Rbbp9	756	0	642	1215	1495	778	1126	2666	70	79	98	172	267	135	1029	722
Gm34292|Gm34292	140	0	75	218	95	0	135	0	2	5	7	11	6	0	45	20
Gm39951|Gm39951	0	0	2	0	0	0	0	0	19	29	12	25	24	15	16	0
Dtd1|Dtd1	1164	1351	1082	3134	1540	907	1846	1848	118	128	133	224	295	242	3244	2859
BC039771|BC039771	0	0	0	42	3	0	0	0	0	3	0	0	0	4	47	28
Gm34513|Gm34513	95	160	0	0	40	0	56	0	4	5	5	8	12	9	349	302
Slc24a3|Slc24a3	3727	3234	2161	1955	4317	7931	3466	7142	381	405	284	862	3854	2686	3189	3450
Gm14092|Gm14092	11	71	28	0	18	0	17	0	19	17	24	28	203	191	20	15
Rin2|Rin2	856	354	920	179	986	3240	1176	0	32	27	31	71	78	56	1184	564
Gm39954|Gm39954	114	242	154	165	204	0	257	0	4	7	7	10	7	4	69	71
Naa20|Naa20	2621	3182	1945	7579	2527	1335	2143	3985	25	32	51	88	108	69	2343	1978
Crnkl1|Crnkl1	737	18	698	195	1612	0	1876	4822	93	110	101	128	138	152	1095	1370
Cfap61|Cfap61	0	0	0	0	43	0	76	0	11	13	4	0	4	2	18	13
Ralgapa2|Ralgapa2	2806	4431	2581	6445	5040	3876	3465	4626	895	998	1705	2456	1904	1419	1343	1068
A930019D19Rik|A930019D19Rik	45	23	39	251	53	0	21	0	11	6	17	12	32	19	29	22
Gm14114|Gm14114	0	0	140	0	45	0	71	0	0	0	23	28	9	0	0	27
Gm35030|Gm35030	0	0	13	0	0	0	7	0	0	0	11	9	0	0	5	5
Gm34978|Gm34978	24	0	139	0	84	0	71	0	0	0	17	20	0	0	19	0
Kiz|Kiz	1151	1177	1002	1727	2000	359	1441	3292	38	65	109	167	125	109	1246	652
Sstr4|Sstr4	44	0	0	706	31	562	126	0	144	125	100	168	571	312	10	12
Nkx2-2|Nkx2-2	271	0	262	0	496	0	839	0	0	2	0	2	7	0	104	34
Nkx2-2os|Nkx2-2os	100	0	0	0	61	0	51	0	0	0	0	0	0	0	0	18
6430503K07Rik|6430503K07Rik	34	0	53	0	54	0	27	0	0	0	0	0	0	0	11	0
Thbd|Thbd	1627	192	566	883	942	900	1699	1082	42	72	34	95	152	96	7	0
Xrn2|Xrn2	3930	2958	3099	6182	6566	1520	5284	957	286	312	357	551	829	604	2473	2667
Cd93|Cd93	361	0	279	0	359	0	311	0	18	19	19	37	77	59	0	0
Cstl1|Cstl1	0	127	4	0	20	0	0	0	0	13	4	6	3	4	21	28
Gzf1|Gzf1	847	866	602	2024	1778	1225	1241	0	193	203	289	491	545	355	1890	1819
Nxt1|Nxt1	354	758	287	1690	526	0	487	0	20	21	21	29	58	37	587	514
Napb|Napb	6271	7060	5164	9252	7578	2922	7699	15132	1125	1480	1081	2229	2270	1588	26280	21655
Zfp120|Zfp120	1067	3149	656	2304	788	68	1101	2251	38	46	32	47	79	70	657	789
Zfp937|Zfp937	624	6	306	726	711	0	585	2883	36	25	12	44	30	35	408	623
Gm14133|Gm14133	966	1300	1257	1066	3958	1543	3156	2742	379	358	261	419	304	244	43	27
Syndig1|Syndig1	2482	1369	1460	4500	2846	2390	3323	5987	66	48	38	85	33	25	324	222
3300002I08Rik|3300002I08Rik	132	200	109	0	261	0	199	524	23	28	19	39	48	36	127	78
Gm10130|Gm10130	113	227	44	0	128	87	284	0	6	8	6	10	16	13	147	89
Cst7|Cst7	33	0	58	0	25	235	46	0	13	17	24	35	27	13	97	49
Zfp442|Zfp442	1589	2716	1060	2194	2525	0	1670	5492	81	86	51	88	139	167	537	1117
Cst3|Cst3	72943	49884	47664	56007	52123	60198	59591	73630	173	134	146	540	959	666	20215	19314
E130215H24Rik|E130215H24Rik	0	0	6	0	5	0	33	0	0	2	0	5	6	8	7	0
Acss1|Acss1	321	0	516	621	849	0	1007	0	39	50	56	103	183	137	104	72
Apmap|Apmap	12539	10062	7585	17928	11889	12199	13255	39282	104	119	208	417	537	358	5635	5230
Entpd6|Entpd6	4649	5432	3960	4734	8706	8816	8666	7102	224	238	257	387	839	485	9108	7996
Gins1|Gins1	58	138	99	0	0	0	13	0	5	3	4	10	10	4	34	22
Ninl|Ninl	18	468	289	1270	285	0	215	0	82	114	68	99	37	31	224	142
Nanp|Nanp	144	132	142	83	312	80	226	90	0	0	0	0	0	0	24	17
Nsfl1c|Nsfl1c	1280	1731	1637	3541	2700	2801	2989	3399	146	150	161	370	397	245	4777	3685
Fkbp1a|Fkbp1a	4144	3367	3099	6125	5433	5674	5308	5792	624	665	523	1363	1403	857	8862	4460
Gm14167|Gm14167	118	435	80	255	157	384	204	34	3	0	11	0	15	9	69	33
Rad21l|Rad21l	7	366	41	1212	8	0	16	0	0	0	0	2	16	8	24	51
Snph|Snph	578	1445	1410	885	3163	0	3501	316	648	612	2007	2924	1420	895	4601	2675
LOC108168834|LOC108168834	0	39	7	0	0	0	3	0	1	0	0	0	2	3	0	0
Abhd12|Abhd12	21399	16256	14058	17721	29472	35763	30480	45546	312	331	466	1043	903	610	3769	1829
Pygb|Pygb	2316	916	1370	5712	4630	703	4805	3191	209	227	348	634	680	474	7809	5153
Fam110a|Fam110a	293	0	243	0	370	1000	328	0	10	5	7	29	31	21	278	313
Slc52a3|Slc52a3	148	0	165	0	52	0	151	0	0	0	0	0	0	0	0	0
Tmem74b|Tmem74b	514	895	301	0	542	0	473	0	270	369	414	740	756	690	755	474
Psmf1|Psmf1	1295	900	977	2663	2209	0	1641	2246	134	118	112	200	338	221	2459	1816
Scrt2|Scrt2	8	0	62	117	74	0	85	0	54	55	267	489	325	165	145	137
Srxn1|Srxn1	808	0	732	454	1206	0	1198	633	143	149	230	556	622	393	6033	2319
Tbc1d20|Tbc1d20	461	116	800	892	2100	0	2418	0	248	221	295	500	533	299	2872	1284
Trib3|Trib3	54	0	95	0	263	2112	252	1298	0	0	0	0	0	0	1589	1338
Rbck1|Rbck1	1053	1479	1069	2599	3821	0	3790	2105	364	381	569	747	1262	691	5176	3994
Csnk2a1|Csnk2a1	7927	8303	7446	18540	10830	3994	10145	13209	109	106	144	257	342	196	691	1101
Sox12|Sox12	173	496	135	1158	193	0	242	0	269	226	343	568	567	321	414	218
1700030C14Rik|1700030C14Rik	17	0	0	0	10	0	33	0	0	6	0	0	0	0	17	14
6820408C15Rik|6820408C15Rik	179	0	148	349	119	0	122	0	17	42	63	75	109	64	64	85
Zcchc3|Zcchc3	2358	698	1961	7	5179	1309	5312	5205	49	52	116	209	227	118	573	195
Gm14164|Gm14164	28	145	8	3	101	0	59	0	29	33	61	88	36	23	145	99
Nrsn2|Nrsn2	12057	20781	8300	26557	10300	44075	12496	64064	178	189	454	1650	488	268	22691	20364
Id1|Id1	740	0	332	0	626	0	498	0	3	3	3	3	9	4	33	13
H13|H13	10849	10786	8550	20728	16024	25755	17583	20838	602	834	831	1519	2406	1464	6464	3261
Mcts2|Mcts2	212	384	138	370	299	654	386	0	92	117	134	230	321	161	477	443
Foxs1|Foxs1	0	0	47	0	78	0	0	0	1	0	1	2	0	1	2	0
Gm32057|Gm32057	0	27	0	0	42	0	0	0	0	0	0	0	5	0	0	0
Cox4i2|Cox4i2	96	5	40	0	71	0	57	0	0	0	0	2	4	4	14	6
Bcl2l1|Bcl2l1	2524	0	2501	38	8580	0	7806	520	78	72	66	162	213	138	5633	4326
Gm32211|Gm32211	4	0	16	0	57	188	12	0	4	3	4	10	21	23	10	3
Dusp15|Dusp15	476	993	924	671	3046	0	3112	0	172	209	426	518	821	527	604	361
Ttll9|Ttll9	0	158	71	1357	211	0	174	0	17	16	20	34	50	45	536	543
Gm14199|Gm14199	0	0	25	0	34	0	0	2	15	9	30	30	73	28	34	9
Ccm2l|Ccm2l	32	0	17	0	0	0	0	0	6	9	9	4	13	9	11	7
Xkr7|Xkr7	1014	20	558	454	2357	0	1123	0	106	144	112	230	461	282	304	352
Gm32286|Gm32286	0	0	0	0	17	0	6	0	3	5	2	6	7	9	0	0
Hck|Hck	130	0	34	0	111	0	155	0	7	7	6	6	11	6	48	5
Pdrg1|Pdrg1	2911	2839	1863	6703	4294	0	3200	0	158	159	268	385	779	492	4212	3229
Tspyl3|Tspyl3	278	0	334	0	723	0	805	0	40	51	44	93	118	70	2262	1981
Plagl2|Plagl2	725	89	431	0	893	374	925	0	145	205	252	460	548	309	298	352
Pofut1|Pofut1	1358	508	937	1406	1310	3104	797	158	84	139	135	213	303	219	1062	1003
2500004C02Rik|2500004C02Rik	326	766	358	774	307	0	550	1784	36	45	57	96	122	87	177	221
Kif3b|Kif3b	1272	3165	1064	2120	1268	0	1418	3612	347	451	476	861	619	417	1897	1115
Asxl1|Asxl1	530	257	704	201	1373	0	655	0	318	355	442	707	645	413	714	1096
Tm9sf4|Tm9sf4	13051	9286	8619	15053	15890	20466	17256	16256	406	520	731	1371	984	592	7259	5847
Nol4l|Nol4l	258	673	801	1835	697	0	1293	0	510	493	563	935	1179	587	867	613
4930404H24Rik|4930404H24Rik	0	491	0	0	34	0	16	0	90	70	80	112	262	162	44	6
Dnmt3b|Dnmt3b	337	55	274	0	285	0	243	0	15	12	15	16	35	21	77	9
Commd7|Commd7	1445	1130	983	941	1585	0	1622	0	83	100	142	272	368	266	2720	2111
Mapre1|Mapre1	4783	4245	2787	8879	4445	4160	3916	8872	205	359	319	547	452	350	4211	3170
Gm39962|Gm39962	0	0	7	0	16	0	79	0	0	0	0	0	0	0	0	0
Snta1|Snta1	302	46	291	372	886	0	895	2732	35	37	42	64	145	92	333	255
Cdk5rap1|Cdk5rap1	365	65	380	1365	261	0	263	0	38	39	51	69	61	67	547	464
Bpifb9a|Bpifb9a	0	0	0	0	0	0	0	0	12	24	15	12	44	22	0	60
Cbfa2t2|Cbfa2t2	4565	3546	4682	7348	6151	1328	6286	7054	187	214	211	443	615	331	2012	1626
Necab3|Necab3	1199	0	860	901	1858	0	1191	0	516	535	113	290	911	410	3544	2878
1700003F12Rik|1700003F12Rik	0	0	0	0	7	0	0	0	53	43	7	11	76	30	66	23
Actl10|Actl10	0	0	0	0	30	0	12	0	79	69	16	25	111	44	38	10
E2f1|E2f1	82	0	27	0	85	0	116	0	26	24	6	10	12	12	253	164
Pxmp4|Pxmp4	714	180	428	114	552	0	718	931	49	50	46	88	107	56	923	656
Zfp341|Zfp341	371	173	201	1022	535	322	573	234	91	118	97	139	248	135	122	121
LOC102635682|LOC102635682	266	483	213	1115	259	270	148	0	40	30	27	29	45	31	17	17
Chmp4b|Chmp4b	155	170	118	140	166	580	165	91	43	39	48	185	210	126	301	269
LOC105244333|LOC105244333	119	376	349	0	296	0	498	1220	49	37	63	83	120	77	98	69
LOC108168806|LOC108168806	1763	1468	784	562	869	0	857	1420	51	67	140	258	220	153	261	341
2310005A03Rik|2310005A03Rik	37	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Ahcy|Ahcy	348	77	106	446	373	0	343	225	4	7	9	6	19	5	517	436
Gm39966|Gm39966	97	0	12	0	80	0	51	0	5	3	9	18	12	9	0	0
Raly|Raly	976	185	698	675	3907	0	3431	4245	100	87	100	191	244	179	229	242
Eif2s2|Eif2s2	2728	3247	1598	4963	3590	1568	2912	9078	67	60	73	165	207	182	2360	1952
Itch|Itch	2725	1301	2037	2052	3855	3232	3429	216	333	385	320	678	794	595	2367	2478
Trp53inp2|Trp53inp2	1203	685	1369	0	5059	1432	5937	0	525	574	1074	1882	2262	1405	5815	3813
Ncoa6|Ncoa6	522	524	985	1107	1222	0	887	0	799	1095	1011	1863	2282	1556	784	423
Dynlrb1|Dynlrb1	2546	2601	1259	5225	2464	4422	2455	3911	150	172	170	502	495	273	4787	3917
Map1lc3a|Map1lc3a	1938	1213	1414	6947	3284	2588	2887	5102	69	57	103	287	438	196	2842	1269
Pigu|Pigu	3088	2483	2269	4604	3381	10564	4883	6943	83	87	116	238	279	158	2074	2290
Ggt7|Ggt7	8568	6485	7770	13025	26264	15082	29416	18249	733	610	1158	1477	2495	1567	12881	10919
Acss2|Acss2	1025	567	1618	1269	2832	0	3529	3449	259	302	819	1069	948	519	3782	2478
Gss|Gss	808	758	588	1062	1180	0	1290	1193	108	95	362	503	632	475	1358	1128
Acss2os|Acss2os	21	0	28	0	82	0	107	0	19	30	18	25	25	39	20	12
LOC102636309|LOC102636309	1049	1259	1435	3175	1440	10	1208	472	335	389	1634	2052	2010	778	424	486
Myh7b|Myh7b	348	0	240	0	1317	0	1261	0	132	88	94	164	498	314	289	136
Trpc4ap|Trpc4ap	1556	1248	942	1174	6692	1472	7711	3241	301	310	507	856	810	541	5623	2704
Procr|Procr	88	0	49	0	11	0	199	0	0	0	0	0	0	0	16	7
Edem2|Edem2	2353	1091	2427	3526	3832	164	5153	2419	143	130	251	377	359	251	3534	2700
Mmp24|Mmp24	2744	132	1142	0	7842	858	4657	23	201	199	341	652	726	457	614	675
LOC108168807|LOC108168807	131	101	118	243	161	0	54	0	52	118	121	140	206	120	11	66
BC029722|BC029722	707	105	638	1898	707	0	1801	1823	15	17	36	96	149	53	4277	2891
Fam83c|Fam83c	0	0	14	0	46	0	24	0	0	0	0	0	0	0	71	88
Eif6|Eif6	1239	1303	932	2267	2113	2576	1754	2168	46	38	70	117	161	121	3727	2500
Gdf5|Gdf5	72	87	43	0	12	0	47	0	0	0	2	0	0	0	369	271
Uqcc1|Uqcc1	4193	3016	3042	5093	5028	3402	4639	10859	96	73	195	258	335	244	6268	4550
Cep250|Cep250	1426	2123	1558	2449	3639	0	2537	1805	273	408	397	420	642	437	2735	2604
Spag4|Spag4	257	315	266	2560	179	0	325	2307	17	22	53	69	127	84	1162	838
Cpne1|Cpne1	2001	1803	1283	2192	2969	0	2405	0	197	204	227	309	404	296	2702	2697
Rbm12|Rbm12	846	460	176	0	701	0	616	0	267	274	266	360	663	435	773	686
6430550D23Rik|6430550D23Rik	391	58	101	389	114	0	213	189	17	34	53	97	74	51	118	139
Ergic3|Ergic3	14151	10159	9567	19557	17536	17428	17615	29284	223	268	321	681	854	530	8322	8199
Gm14170|Gm14170	33	0	54	0	47	0	17	0	6	10	8	15	17	10	29	9
2900097C17Rik|2900097C17Rik	12670	6014	11345	26619	13692	16474	14862	39743	121	136	80	199	244	216	9471	6405
Epb41l1|Epb41l1	2654	997	3103	3580	7255	992	5551	704	1651	1800	3236	4927	4360	2903	5306	3959
Gm33977|Gm33977	0	0	31	0	132	0	71	0	146	176	210	242	618	327	74	33
Gm14169|Gm14169	68	35	116	178	54	0	28	0	148	171	99	129	211	130	23	112
Nfs1|Nfs1	1891	3716	1469	3633	2971	5048	2486	537	111	114	198	291	307	220	2572	1899
Phf20|Phf20	7882	5704	5118	7196	8185	1528	6405	6776	165	202	165	373	297	257	3301	3342
Cnbd2|Cnbd2	1458	1699	1187	2310	1347	908	1165	187	78	121	180	242	206	134	1038	811
Gm39972|Gm39972	5	0	17	4	72	0	18	0	0	0	0	0	0	0	0	0
Romo1|Romo1	831	1180	492	2730	631	2365	639	1097	35	30	47	117	238	104	1400	995
Rbm39|Rbm39	50240	60803	45035	96342	58496	40330	54086	82024	2482	3125	2634	3920	6787	4681	22361	18034
Scand1|Scand1	482	319	245	875	871	715	672	1375	13	6	20	32	49	28	149	17
Aar2|Aar2	1003	773	1167	2371	2156	279	2979	7926	101	113	187	364	271	166	2677	1916
Myl9|Myl9	299	0	160	0	148	0	237	0	5	5	10	30	11	14	37	20
Dlgap4|Dlgap4	1333	1072	1350	3154	3141	360	1967	1570	1288	1245	1194	1767	2994	1620	2827	2500
Gm34111|Gm34111	7	0	24	4	14	0	35	0	21	22	17	22	28	25	0	21
4930405A21Rik|4930405A21Rik	190	153	216	68	118	0	133	0	46	58	52	54	100	77	50	20
Gm14230|Gm14230	0	0	0	0	0	0	41	0	5	3	4	9	6	0	7	0
Tgif2|Tgif2	145	0	236	417	85	0	158	0	17	19	31	34	45	25	89	61
5430405H02Rik|5430405H02Rik	697	864	783	1188	1371	606	1258	1478	9	17	30	29	54	26	408	343
Sla2|Sla2	17	0	8	0	29	0	45	0	56	35	52	64	37	57	13	0
1110008F13Rik|1110008F13Rik	2089	2292	1636	4847	5876	1258	4487	6735	16	32	36	114	127	58	269	143
Samhd1|Samhd1	317	306	399	1700	894	0	871	0	48	64	189	314	448	260	668	332
Soga1|Soga1	2176	408	2459	1128	6165	55	5740	22	149	190	457	757	1929	1051	1063	907
Tldc2|Tldc2	341	0	229	107	716	0	653	0	6	6	23	48	66	29	74	84
Rbl1|Rbl1	398	591	358	1981	595	0	333	0	18	17	28	39	93	51	312	175
Ndrg3|Ndrg3	8691	1990	5800	9633	19793	7525	16750	2776	996	1251	922	2121	1905	1270	12667	10129
Ghrh|Ghrh	24	109	10	0	80	0	125	0	0	0	0	0	0	0	70	53
Manbal|Manbal	1749	1832	1396	1357	2689	0	2392	2628	51	38	65	121	147	87	1756	1580
Src|Src	266	316	335	75	1034	0	1187	0	164	125	172	327	388	212	824	564
Mroh8|Mroh8	78	9	58	95	115	441	83	206	19	21	43	64	57	44	40	25
Rpn2|Rpn2	22924	10755	15245	26942	25616	44840	31629	71245	241	263	595	1010	881	570	14979	11860
Ctnnbl1|Ctnnbl1	928	411	860	1474	809	1557	863	32	57	53	100	173	174	145	1320	1232
Vstm2l|Vstm2l	385	517	359	378	773	496	629	1786	29	23	33	66	354	175	80	34
Tgm2|Tgm2	85	0	254	414	263	0	205	0	5	2	7	10	17	20	62	0
Tti1|Tti1	419	0	461	780	1606	3078	1649	0	94	101	156	347	189	121	1107	1084
Rprd1b|Rprd1b	678	1392	1168	2806	2063	116	1862	1479	126	127	163	284	372	260	2030	1527
2010009K17Rik|2010009K17Rik	3	0	0	0	2	0	11	0	2	3	0	4	6	5	8	8
Gm34402|Gm34402	19	0	165	0	187	0	216	0	37	44	61	78	63	58	73	82
Lbp|Lbp	267	0	250	0	439	0	335	0	0	0	0	0	0	0	18	8
Blcap|Blcap	9704	16270	6964	8422	13081	25735	12100	31949	177	193	265	465	439	237	11167	9660
Nnat|Nnat	10194	3862	11313	8007	13700	8094	19837	3176	267	245	243	427	366	261	11077	9309
Snhg17|Snhg17	466	1105	483	1755	461	0	363	178	72	55	111	138	275	187	829	788
Arhgap40|Arhgap40	29	7	0	0	0	0	37	0	0	0	0	0	0	0	5	0
Gm14204|Gm14204	321	521	665	752	432	0	311	2465	6	9	691	823	1545	1035	242	214
Slc32a1|Slc32a1	840	587	624	1037	2918	688	3629	2399	12	9	570	1534	1292	694	445	247
Actr5|Actr5	170	187	165	136	151	0	99	0	50	59	99	137	288	166	138	113
Mafb|Mafb	86	0	60	115	200	809	326	0	11	19	428	920	49	32	69	14
Ppp1r16b|Ppp1r16b	6079	6202	8122	15207	5255	2681	5933	4077	478	482	584	921	954	592	1695	1076
Dhx35|Dhx35	1219	311	833	2393	742	0	964	99	194	229	580	813	731	483	1063	1195
Top1|Top1	4025	5069	3282	7135	5652	2254	4537	5061	277	286	279	557	660	431	2107	2492
LOC108168811|LOC108168811	0	0	0	0	60	0	36	0	0	0	0	0	4	0	0	0
Lpin3|Lpin3	45	0	42	0	196	0	216	0	0	0	4	4	9	6	0	11
Emilin3|Emilin3	43	0	128	0	1328	0	738	0	0	0	4	4	55	15	0	0
Plcg1|Plcg1	890	181	886	2294	2031	90	1627	753	499	589	1049	1393	1168	769	874	1095
Zhx3|Zhx3	380	106	484	85	808	0	577	0	205	228	391	672	863	581	361	211
Chd6|Chd6	8284	10012	7083	18482	13366	20096	10855	17620	1741	1976	3174	7275	4163	3058	8515	9437
LOC102639013|LOC102639013	238	0	233	905	269	0	246	0	48	49	40	53	113	72	16	33
Cisd3b|Cisd3b	5	0	3	16	7	13	0	36	9	6	0	4	5	3	14	18
L3mbtl1|L3mbtl1	158	77	182	589	449	507	575	0	571	835	202	249	1144	854	1177	1426
Srsf6|Srsf6	3008	2010	2760	5880	3771	2217	2811	3082	806	947	918	1337	2868	1878	2193	1838
Ralgapb|Ralgapb	2055	3699	2145	6011	3940	3835	3568	2210	1272	1465	1817	3112	2965	2025	1662	1821
Snhg11|Snhg11	302844	499332	296804	1708137	333384	270133	347036	266742	57432	75686	112374	152417	215001	157333	425287	381463
Sgk2|Sgk2	186	0	215	241	145	0	572	0	3	2	0	4	18	7	95	119
Gm11454|Gm11454	0	0	36	544	14	0	18	547	0	0	2	2	0	0	661	347
Ift52|Ift52	531	487	704	2578	1217	189	1186	5258	128	95	150	259	180	183	2205	1865
Tox2|Tox2	192	0	141	0	418	0	571	0	30	34	349	507	48	33	3731	2222
Ptprt|Ptprt	2559	3515	1703	3793	5578	4462	3396	4	1127	1104	456	1191	1678	1186	235	317
Ptprtos|Ptprtos	0	0	3	0	0	0	1	0	16	16	7	4	18	17	0	0
LOC108168812|LOC108168812	0	0	4	0	0	0	37	0	270	178	112	87	370	232	0	0
9430021M05Rik|9430021M05Rik	189	757	208	482	226	0	315	0	54	62	31	71	175	147	134	39
Oser1|Oser1	527	593	626	795	1042	0	835	0	7	6	10	18	15	12	331	359
LOC108168734|LOC108168734	1023	802	587	3544	1115	830	1036	1357	15	6	23	32	67	45	522	477
Gm39979|Gm39979	173	66	111	549	149	0	386	162	6	7	16	26	6	8	161	132
Gdap1l1|Gdap1l1	942	1222	855	1750	2113	434	2101	0	132	138	318	522	660	394	5496	3631
Fitm2|Fitm2	1068	51	942	179	2471	4133	2837	5994	16	14	39	76	41	37	1469	615
2310001K24Rik|2310001K24Rik	3	141	0	0	9	37	9	0	2	0	3	4	3	1	4	0
Ttpal|Ttpal	807	1835	1420	2428	2137	2972	1922	733	275	298	233	460	525	403	3121	2225
Ada|Ada	64	0	13	0	74	0	81	0	35	33	20	27	37	32	16	37
Rims4|Rims4	359	46	235	992	1033	0	1017	0	95	96	266	574	148	85	712	728
Kcnk15|Kcnk15	71	0	9	0	41	0	14	0	0	4	7	7	0	0	6	0
Pkig|Pkig	836	13	618	239	1380	1270	1383	0	60	38	37	64	105	46	1114	563
LOC102639518|LOC102639518	0	176	96	0	116	0	35	0	93	107	54	55	80	87	0	29
0610039K10Rik|0610039K10Rik	1	0	16	4	20	0	36	0	0	1	2	1	4	2	6	1
Serinc3|Serinc3	6804	3602	3918	8515	2455	808	1919	2237	809	971	633	1475	1508	947	16768	16045
Pabpc1l|Pabpc1l	0	0	10	0	31	0	19	0	0	9	5	12	14	6	31	11
Ywhab|Ywhab	3920	6159	3174	10560	5698	4507	6097	3093	921	1212	839	2573	1642	1266	12342	8069
Kcns1|Kcns1	74	0	292	247	393	0	539	0	58	57	83	139	10	7	35	13
Slpi|Slpi	28	0	113	0	35	0	93	0	0	0	0	0	0	0	107	35
Matn4|Matn4	773	0	725	84	1865	0	2799	0	30	0	0	4	6	0	45	8
Rbpjl|Rbpjl	11	0	5	0	76	0	33	0	0	4	0	2	0	0	0	0
Tomm34|Tomm34	1954	532	1567	2473	2854	2653	2275	1053	192	178	254	378	734	389	3613	2701
Stk4|Stk4	748	1226	510	335	1299	329	967	800	250	277	200	364	421	322	1202	1153
Sdc4|Sdc4	6844	1056	7052	1005	6819	966	6243	424	8	14	9	26	39	21	293	177
Wfdc3|Wfdc3	22	0	29	0	0	0	33	0	4	3	5	7	5	0	48	62
Sys1|Sys1	5517	4390	3527	3400	5603	1069	5714	5102	93	112	157	237	356	226	1391	581
Trp53tg5|Trp53tg5	53	0	60	0	114	0	118	0	61	66	66	126	130	86	134	68
Dbndd2|Dbndd2	7051	1075	6511	4333	8677	3029	10410	2770	350	505	279	475	513	344	2965	2460
LOC102638515|LOC102638515	201	0	150	125	508	0	262	60	11	15	10	24	16	19	70	44
Gm11457|Gm11457	97	24	66	0	64	0	91	32	90	106	86	146	228	114	48	22
Dnttip1|Dnttip1	306	318	212	724	243	45	430	691	110	94	192	344	507	314	1111	356
Pigt|Pigt	5503	2088	3629	2304	9420	7652	11827	4837	306	336	332	863	806	378	2194	1558
Snx21|Snx21	1097	195	1173	2831	3612	914	4101	839	78	93	172	294	292	170	2592	1354
Acot8|Acot8	674	1029	623	294	1343	0	1036	165	44	47	95	132	159	73	1200	838
Zswim3|Zswim3	269	594	364	596	447	0	316	0	50	59	72	127	118	80	781	1168
Zswim1|Zswim1	778	769	914	156	1881	711	1284	1093	45	61	80	146	187	116	2180	1813
LOC105244413|LOC105244413	720	1445	992	842	3381	480	3785	2440	40	31	40	67	69	30	558	210
Pcif1|Pcif1	982	42	1284	1260	4148	0	3495	0	79	102	143	318	318	174	1841	1031
LOC108168813|LOC108168813	51	0	29	164	104	0	17	0	47	67	68	110	135	79	146	110
Mmp9|Mmp9	146	0	11	20	2	0	151	51	0	3	8	12	11	9	138	12
Zfp335|Zfp335	391	0	572	267	3113	0	2696	0	483	500	706	903	1229	663	3736	3186
Zfp335os|Zfp335os	1972	611	1196	2217	1378	5043	1893	1269	73	102	146	240	193	129	1247	482
Neurl2|Neurl2	224	0	38	109	316	163	248	0	6	8	19	16	17	5	306	299
Ctsa|Ctsa	19342	9482	14573	18220	24021	22817	27194	34604	300	353	673	1226	928	548	9326	8047
Pltp|Pltp	1828	435	2070	0	3947	1333	5383	0	12	11	5	12	10	2	149	33
