gene_id,PBN1-ML01-D,PBN1-ML01-G,PBN1-ML02-D,PBN1-ML02-G,PBN1-ML03-D,PBN1-ML03-G,PBN1-ML04-D,PBN1-ML04-G,PBN2-FM01-D,PBN2-FM01-G,PBN2-FM02-D,PBN2-FM02-G,PBN2-FM03-D,PBN2-FM03-G,PBN2-FM04-D,PBN2-FM04-G,SRR1647854,SRR1647855,SRR1647856,SRR1647857,SRR1647858,SRR1647859,SRR6294443,SRR6294444
LOC102633643|LOC102633643,0,0,0,71,0,0,0,0,49,0,0,0,2,0,52,0,10,13,4,4,6,6,0,0
LOC102633724|LOC102633724,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,8,15,0,0,6,0,0,4
Gm31682|Gm31682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,2,5,0,0,0
Gm12907|Gm12907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,3,0,0
4933424M12Rik|4933424M12Rik,0,0,0,0,0,0,0,0,39,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0
Gm40221|Gm40221,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,8,0
4930407G08Rik|4930407G08Rik,0,0,0,0,8,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Slc1a7|Slc1a7,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,2,2,0,10,6,59,0
Podn|Podn,0,0,62,0,42,0,0,0,169,0,278,0,83,0,296,0,98,144,10,15,91,44,13,0
Zyg11a|Zyg11a,0,0,0,0,0,0,0,355,0,0,14,0,0,0,5,0,6,6,0,3,5,4,0,0
Gm40222|Gm40222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108169005|LOC108169005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40223|Gm40223,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0
4930522H14Rik|4930522H14Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40226|Gm40226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkn2c|Cdkn2c,0,0,0,0,20,0,0,0,68,0,64,0,85,0,45,0,0,0,2,0,0,0,8,0
Dmrta2os|Dmrta2os,0,0,0,0,34,0,0,0,50,0,0,0,28,0,0,0,6,6,13,18,14,13,14,0
Dmrta2|Dmrta2,0,0,32,0,9,0,8,0,0,0,0,0,25,0,0,0,7,3,3,9,6,8,6,0
Gm33070|Gm33070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc5a9|Slc5a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27
Skint8|Skint8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint7|Skint7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Skint1|Skint1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint4|Skint4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint3|Skint3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Skint9|Skint9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint2|Skint2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint10|Skint10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint6|Skint6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skint5|Skint5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Skint11|Skint11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0
Gm40228|Gm40228,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0
Gm12829|Gm12829,0,0,0,0,0,0,0,0,0,0,9,0,12,0,11,0,0,0,0,0,0,0,0,0
LOC105244659|LOC105244659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gm12830|Gm12830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxd2|Foxd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
Foxd2os|Foxd2os,0,0,12,0,13,0,18,0,0,0,12,0,70,0,0,0,0,0,0,0,0,0,0,0
Foxe3|Foxe3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a29|Cyp4a29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a12a|Cyp4a12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a12b|Cyp4a12b,0,0,32,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0
Cyp4a30b|Cyp4a30b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a14|Cyp4a14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a10|Cyp4a10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a31|Cyp4a31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4b1-ps2|Cyp4b1-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4a32|Cyp4a32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp4b1|Cyp4b1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,16,0
Tex38|Tex38,0,0,0,0,21,0,13,0,0,0,0,0,27,0,0,0,5,5,8,12,6,6,23,3
Kncn|Kncn,0,0,0,0,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,9,6
Dmbx1|Dmbx1,0,0,0,0,0,418,0,0,0,0,32,0,76,4484,60,148,2,0,0,0,0,0,11,0
Gm38492|Gm38492,0,1503,0,0,0,0,0,0,58,0,21,0,33,0,0,0,11,5,7,7,19,7,0,9
Tspan1|Tspan1,0,0,48,0,27,0,0,0,3,0,33,0,53,0,69,0,9,16,16,23,23,15,0,0
Kif2c|Kif2c,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0
Gm34669|Gm34669,0,0,0,0,16,0,12,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,4,0
Gm34746|Gm34746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf17|Klf17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artn|Artn,0,0,26,0,0,0,19,540,46,0,51,0,6,0,71,0,5,4,11,16,28,16,15,28
Mpl|Mpl,0,0,9,0,0,0,0,0,2,0,0,0,0,0,4,0,12,15,0,0,0,0,0,0
Tie1|Tie1,0,0,30,0,46,0,139,0,125,0,215,0,1066,0,314,0,0,0,3,4,0,0,9,0
2610528J11Rik|2610528J11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40237|Gm40237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
Olfr62|Olfr62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1342|Olfr1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Olfr1341|Olfr1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
